username,rating,comments,label
k*****5,5,"Màu sắc:ghi
Chất liệu:cotton chống thấm nước
Đúng với mô tả:ok

Ưng màu này lâu quá mà nay mới có dịp săn sale được giá tốt. Màu này có bị phai màu cũng ko bị lộ. Giờ cả nhà ai cũng có một chiếc 3C Pro. Yody ko làm bạn thất vọng",1
hoanghoangthu9,5,Chất đẹp giao hàng nhanh hơn thì sẽ ok hơn nc là ưng hàng của yody vì m hay mua của yody lâu nay rồi mn nên mua,1
s*****w,5,"Màu sắc:dden dam
Đúng với mô tả:chuẩn ảnh
Chất liệu:gió

Mua online giá tốt hơn hẳn ở cửa hàng nha mn, canh được giá tốt 329k thôi nè",1
vuonganhduongngoc,5,"Chất liệu:chất vải đẹp,  dày dặn
Màu sắc:đúng vs mẫu

Áo đẹp,  mua trên live giá rẻ hơn nhiều so vs khi đến cửa hàng yody,  mình mua nhầm size mà shop hỗ trợ đổi nhiệt tình tại yody gần nhất,  trên cả tuyệt vời, rất hài lòng",1
wtsfl2t7_q,5,"Đúng với mô tả:đúng
Chất liệu:vải
Màu sắc:tím than

Mình cao 1m75, nặng 80kg, mua 3XL vừa vặn.  Đóng gói cẩn thận, giao hàng nhanh. Áo mặc ấm, cản gió, chống nước khá tốt. Bản pro cảm giác áo mềm hơn, nhẹ hơn. Bản plus form áo cứng cáp hơn.",1
trinhanhdung1346,5,"Màu sắc:đen
Đúng với mô tả:đúng
Chất liệu:vải

Áo dầy dặn. Đẹp, from ác đứng ổn. Với giá này thì quá là hợp lý. Nhưng size thì lớn 1 sze sẽ đẹp hơn",1
anhnguyensu,5,"Đúng với mô tả:sản phẩm đúng mô tả
Màu sắc:xanh than
Chất liệu:polyester

Giao hàng nhanh, đúng mẫu mã, size vừa. Chất vải chắn gió, nước tốt",1
wtsfl2t7_q,5,"Đúng với mô tả:đúng
Màu sắc:xanh than
Chất liệu:vải

Mình cao 1m75, nặng 80kg, mua 3XL vừa vặn.  Đóng gói cẩn thận, giao hàng nhanh. Áo mặc ấm, cản gió, chống nước khá tốt. Bản pro cảm giác áo mềm hơn, nhẹ hơn. Bản plus form áo cứng cáp hơn.",1
khoangtroirieng,5,"Đúng với mô tả:đúng mô tả
Chất liệu:áo gió nam
Màu sắc:xanh than

Sản phẩm của YODY thì khỏi phải bàn về chất lượng. Thi thoảng xem live có voucher  giảm giá là lại mua cho bản thân,cho chồng, con.Săn sale mua được áo gió 3C Pro với mức giá 336k quá là hời luôn.Cho shop 5 sao.Sẽ ủng hộ shop nữa",1
chungc639,5,"Đúng với mô tả:đúng với mô tả
Màu sắc:nâu
Chất liệu:vải dù

Hàng đẹp, mềm tay, đường may kỷ, giá mua trên live rẻ hơn, màu  nâu đep nha cả nhà",1
dinhthiduyen2901,5,"Đúng với mô tả:3XL
Màu sắc:Đen đậm

Áo đẹp, vải dày dặn mình săn được với giá ưu đãi, mặc lên form cực kỳ đẹp. Đi đường cản gió, bên trong mặc thêm áo giữ nhiệt nữa là ok",1
duong7x,5,"Đúng với mô tả:Chuẩn size, màu ghi

Hàng Yody chuẩn màu, thời trang, được trợ giá khi mua live và voucher của shop thêm xu còn 319k43",1
lethu538,5,"Màu sắc:màu đen

Hàng nhận giống mô tả. Chất liệu ổn, dáng áo đẹp, đường may cẩn thận, hai túi có khóa kéo. Giá sale khá rẻ. Đóng hàng trong túi nilon dày, giao hàng nhanh",1
ngocdiep_7570,5,"Màu sắc:đỏ đô

Áo đẹp. Giá phù hợp . Chồng mình chỉ thích mỗi hàng yody. Mua dc giá tốt, mn nên mua nha. Cảm ơn shop nhiều",1
quynhlonggold,5,"Đúng với mô tả:Đúng
Chất liệu:nilon
Màu sắc:Tím Than

Áo mình mua màu xanh than mà làm biếng chụp lấy màu đen lúc trước mua đăng vậy.Tks shop",1
bao_nhi2401,5,"Lần đầu trải nghiệm dịch vụ bên YODY rất ok nha mấy bà,tui mua online size không vừa nên dọt lẹ ra chi nhánh gần nhất để đổi liền,các bạn nhân viên rất nhiệt tình hỗ trợ,10 đỉm ko có nhưng 🥰🥰🥰",1
songlinh0915,5,"Đúng với mô tả:dung
Màu sắc:đen và tím than
Chất liệu:gió

Shop giao hàng siêu nhanh,áo đẹp lắm. Mua jody yên tâm về chất lượng.lấy tạm hình ảnh sp khác của jody để lấy xu",1
vucanh27,5,"Chất liệu:tốt
Màu sắc:xanh

Sản phẩm giống như trong hình ảnh, sản phẩm của yody thì không bàn cãi, rất là ưng ý, tin dùng yody",1
h*****1,5,"Giao hàng nhanh chóng
Đóng gói cẩn thận
Săn sale giá chỉ 317k
Áo vải mềm,dày dặn
Cám ơn shop nhiều
Lần sau sẽ ủng hộ thêm",1
tuanmcb1973,5,"Màu sắc:xanh than
Chất liệu:vải
Đúng với mô tả:đúng

Đã nhận được hàng áo khoác nhìn thấy giống như hình ảnh của shop tất cả đều vừa ok",1
honghue1806,5,"Đúng với mô tả:đúng như Levi
Chất liệu:vải cản gió,chống thấm nước ,cản bụi
Màu sắc:tím than

Cảm ơn shop nhiều lắm, mình mua cho con mà cháu mặc vừa, không bị kích. Shop Levi tư vấn nhiệt tình. Mọi người nên mua.",1
hared2710,5,"Màu sắc:ghi
Đúng với mô tả:đúng
Chất liệu:vải 3 lớp

Mang lên fom đẹp màu đẹp lắm ạ ,nên mua , mang với quần đen ok lun sẽ ủng họi shop lần sau ạ",1
qz5oaxdk4j,5,"Màu sắc:tốt
Chất liệu:tuyệt
Đúng với mô tả:tốt

áo rất đẹp mặc dễ chịu mát vào mùa hè ấm vào mùa đông rất đáng mua mua màu đỏ còn nửa giá",1
t*****1,5,"Màu sắc:xanh nhatj
Đúng với mô tả:đúng mô tả
Chất liệu:áo gió

Sản phẩm tốt giá cả phù hợp đẹp lắm ạ. 
Bầu bí bon chen luôn",1
t*****9,5,"Chất liệu:vải dù
Đúng với mô tả:đúng như mô tả
Màu sắc:đen

Áo đẹp, chất vải dù dày dặn, 1m65 67kg mặc size L vừa",1
n*****1,5,"Đúng với mô tả:đúng
Màu sắc:xanh than
Chất liệu:vải

Áo đẹp, có khả năng chống nước, màu sắc nhã nhặn phù hợp với bố, quá là okelaaaaaaa",1
t*****7,5,"Đúng với mô tả:đúng
Chất liệu:vải gió mềm
Màu sắc:nâu

Shop đóng gói chuẩn và giao đúng size. Áo khóa gió Jody 3C may đẹp, chất liệu cảm quan tốt, chưa phát hiện lỗi may, chất lượng đáng giá",1
h5whfwe1sn,5,"Đúng với mô tả:đúng
Màu sắc:đen
Chất liệu:chống gió

Đã nhận được hàng, đúng với mô tả ,sản phẩm của yody không làm mình phải thất vọng, mặc form chuẩn",1
b*****y,5,"Màu sắc:tot
Chất liệu:tot
Đúng với mô tả:dung

shop giao hang nhanh. đóng gói chắc chắc. đầy đủ sản phẩm. sẽ mua lại lần sau.",1
nguyen.thai.2710,5,"Chất liệu:chống thấm nhẹ
Đúng với mô tả:đúng
Màu sắc:đẹp

Màu đẹp, đường may chuẩn chỉnh, khóa kéo trơn. Độ chống thấm nhẹ, hợp với đi mưa bay bay nhẹ chứ ko chống thấm nhiều",1
thungan32018,5,"Đúng với mô tả:dungs
Màu sắc:nâu
Chất liệu:gió

Mình chọn áo nam nên lùi một size. Mặc lên vừa vặn, ít bữa trời lạnh mặc đi đường ấm mà nhẹ",1
l*****3,5,"Màu sắc:Đen
Chất liệu:Poly
Đúng với mô tả:100%

Áo đẹp, 2 lớp dày dặn, đúng mô tả,  mua giá sale còn hơn 300k xíu, hi vọng mặc bền, shop giao habgf cũng nhanh, tầm 2 ngày là tới, có dịp sẽ quay lại mua lần nữa.",1
nguyengiahan_12,5,"Chất liệu:ok
Đúng với mô tả:ok
Màu sắc:ok

Chất lượng sản phẩm tyyeejt vời săn được gia sale shopee xu quá đẹp cho 1 chiếuc khoác gió yody",1
qunhnh037,5,"Màu sắc:tím than
Đúng với mô tả:chuẩn
Chất liệu:gió ,mềm mại

Chất liệu áo  mặc cản gió  tốt , rất thích hợp thời tiết sẽ lạnh.Ủng hộ shop lâu đài.Đánh giá 5 sao.Ship nhiệt tình thân thiện",1
dekq7njmg5,5,"Chất liệu:vải gió
Đúng với mô tả:Đúng mô tả
Màu sắc:xanh than

Sản phẩm đẹp, màu sắc đẹp. Thương hiệu uy tind chất lượng. Chính sách bán hàng tuyệt vời. Ưu tiên khách hàng, đổi trả dễ dàng.",1
alice.hand,5,"Màu sắc:ok
Chất liệu:ok
Đúng với mô tả:đúng, đẹp

Áo đẹp, hàng yody rất ổn, mình săn sale nên giá chưa tới 400k, rất ổn luôn",1
nguyenduy18051985,5,"Màu sắc:tím than
Đúng với mô tả:dung voi mo ta
Chất liệu:gio

San pham chat luong tot phom dang ao rat dep ao , day dan, mac am lan sau co nhu cau mua se ung ho shop tiep",1
skincare.huyen99,5,"Màu sắc:xanh than
Đúng với mô tả:dung mo ta
Chất liệu:dù vải đẹp

Hàng chất lượng
Form đẹp
Giữ nhiệt tốt 
Sẽ ủng hộ lần tiếp theo",1
mt7y9l5hn1,5,"Đúng với mô tả:dung mo ta
Chất liệu:chong tham nuoc
Màu sắc:tim than

Áo khoác gió màu tím than size 3xl . Sản phẩm rất ok nha cả nhà. Đẹp mua lần đầu tưởng k đẹp nhưng khi nhận hàng thấy quá ok. Shop tư vấn nhiệt tình sẽ mua ủng hộ cho shop. Giao hang nhanh",1
thuyle48964,5,"Chất liệu:gió, lót nỉ
Đúng với mô tả:đúng với mô tả
Màu sắc:xanh than

Giao hàng nhanh, chất liệu sản phẩm tốt, đóng gói sản phẩm rất đẹp và chắc chắn",1
moonxinhh_96,5,"Áo đẹp, dày 2 lớp, ấm, chất liệu tốt, sẽ ủng hộ shop tiếp, nói chung là hài lòng
Giao hàng nhanh, mua được giá rẻ qua live
Hài lòng ạ.",1
8*****n,5,"Màu sắc:đen
Chất liệu:vải
Đúng với mô tả:đúng

Giao hàng siêu nhanh, nv tư vấn hỗ trợ nhiệt tình, chất lượng thì ko phải bàn",1
q*****4,5,"Màu sắc:đỏ
Đúng với mô tả:ok
Chất liệu:gió

Sản phẩm chất lượng tốt giá cả hợp lý
Shop chuẩn bị hàng nhanh chóng
Thời gian giao hàng đúng dự kiến
Sẽ ủng hộ shop thêm ạ",1
nguyenduy18051985,5,"Màu sắc:den dam
Đúng với mô tả:dung
Chất liệu:gio

Giao hang nhanh va than thien.chat luong san pham tot.mac rat am ap.lan sau se ung ho cho shop",1
h*****8,5,"Đúng với mô tả:đúng
Chất liệu:khoác gió
Màu sắc:tím than

Màu ở ngoài như ảnh nhưng cam có giới thiệu  nên mờ. Shop hỗ trợ nhiệt tình, sp ưng nên đã mua thêm màu khác",1
ductrungakpc,5,"Giao hàng nhanh, chất lượng sản phẩm phù hợp với giá cả, màu ghi thực tế nhìn đẹp, có tiền nên mua mỗi mầu một cái để thay đổi",1
n*****5,5,"Đúng với mô tả:đúng
Màu sắc:xanh than
Chất liệu:gió 2 lớp

Mình đã nhận đc hàng, áo vải đep, mình mặc vừa, shipper thân thiện, giao hàng nhanh, mình sẽ ủng hộ shop mua tiêp nếu có nhu cầu thêm",1
tuytvyh,5,"Mua nhiều lần bên Yody rồi chất lượng sản phẩm tốt, áo khoác dày dặn mặc k bí bách, cổ áo có thể tháo rời nên trung niên có thể mặc được",1
hangthanhhdinhh,5,"Màu sắc:màu đỏ sẫm.
Đúng với mô tả:sản phẩm đúng mô tả

Nhận hàng rất ưng ý. Nhưng mình thấy fom áo dạo này to hơn hồi xưa một xíu, cả đồ nam nữ đều to hơn",1
quangtrung0578,5,"Màu sắc:Xanh Than
Đúng với mô tả:Sản phẩm đúng mô tả
Chất liệu:Polyester

Đã nhận được hàng đúng mô tả, giao hàng nhanh, sản phẩm đẹp,.mũ có thể tháo rời",1
thanhepg,5,"Đúng với mô tả:đúng với mô tả
Màu sắc:đen đậm

Cản gió chống nước tốt mặc đi đường thoải mái",1
ng.anhtuyet,5,"Màu sắc:xanh tím than
Đúng với mô tả:đúng như shop miêu tả
Chất liệu:vải cản gió

Mua áo gió nam Yody áp được mã giảm giá của shopee về giá iu thương",1
trungthao86,5,"Chất liệu:gio dày dặn
Đúng với mô tả:đẹp
Màu sắc:tím than

Giao hàng nhanh lắm luôn. Đặt hqua hnay đã nhận đc. Áo yody đẹp miễn chê nha",1
trinhthihue,5,"Đúng với mô tả:đúng
Chất liệu:gió
Màu sắc:đỏ đô

Áo gió 3c mặt vải đanh , dáng áo đẹp , màu cũng dễ phối đồ , áp được giá sale rẻ",1
triinhhuynh,5,"Màu sắc:dung
Đúng với mô tả:dung
Chất liệu:vai

Hàng chất lượng. Vừa vặn. Giao hàng nhanh nói chung là ưng ý.",1
dinhthibichtram84,5,"Màu sắc:tím thân, size M
Chất liệu:contton
Đúng với mô tả:đúng

Mình đã mua một cái cho con trai nhỏ. Cái này là mua cho ba ảnh thêm một cái vì quá hài lòng.  Phom dáng vừa vặn.  Vải dày nhưng lại ko nóng, ko ngộp. Hai cha con mặc nhìn cưng.",1
cuongpgdmk,5,"Màu sắc:đúng màu đã đặt
Chất liệu:dày dặn

Nhận được hàng mặc thoải mái có thể thêm áo giữ nhiệt ok. Hàng yody thì hài lòng",1
hadiem_240596,5,"Màu sắc:đen
Chất liệu:gió
Đúng với mô tả:đúng

Sp đúng mô tả,đóng gói cẩn thận",1
5i9jbcqk8i,5,"Đúng với mô tả:dung
Chất liệu:gió
Màu sắc:xanh than

áo đúng với mô tả phom đẹp chất thì khỏi bàn mặc ấm nha mọi người nên mua nhé",1
h*****g,5,"Đúng với mô tả:dung
Màu sắc:nâu
Chất liệu:vải poli

Hàng đúng chuẩn chất vải đẹp đường chỉ may chắc chắn, giao hàng nhanh shiper vui vẻ",1
phanhongngoc_03,5,"Giao hàng đúng dự kiến
Shipper nhiệt tình, thân thiện hỗ trợ nhanh",1
megauconbonbon,5,"Vải rất là oke . Mặc thoải mái , lớp lót mềm mại . Đường kim mũi chỉ tươm tất . Khoá kéo ổn áp ! Xứng đáng với giá tiền .",1
nguynthbovy255,5,"Chất liệu:Chất liệu tốt
Màu sắc:Hàng giao đúng màu
Đúng với mô tả:Hàng đẹp, đúng với mô tả của shop.

Hàng đẹp, chất lượng, đường may cẩn thận.",1
nthikhuyen,5,"Màu sắc:đỏ
Chất liệu:vải
Đúng với mô tả:đúng mô tả

Giao hàng nhanh chóng, đúng sản phẩm đã đặt, áo đẹp",1
t*****5,5,"Màu sắc:xanh than
Đúng với mô tả:ok
Chất liệu:rất đẹp

Shop giao hàng nhanh, gói hàng cẩn thận. Áo mặc rất đẹp. Mn nên mua nhé",1
d*****g,5,"Màu sắc:oke
Chất liệu:oke
Đúng với mô tả:oke

mua cái thứ 5 rồi quá ưng săn ở live rất rẻ ngoài CH mua toàn nguyên giá. Kênh chính hãng siêu uy tín",1
lnlien,5,"Hài lòng, áo dày dặn, túi sâu có khóa kéo, túi trong có dán miệng, chưa test đi mưa, nhưng đánh giá tổng quan là tốt",1
hoangkimlien97,5,"Màu sắc:oki

Oki hàng đẹp mua đồ yody chưa lần nào thất vọng choodng mình rất ừn có dịp ghé mua bản nữ thành áo cặp luôn hihe",1
t*****g,5,"Đúng với mô tả:noband
Màu sắc:noband
Chất liệu:noband

mua hộ lên không có hình ảnh thật .thời gian giao hàng rất nhanh. Đóng gói sản phẩm cẩn thận. shop tư vấn nhiệt tình.",1
votdo,5,"Chất liệu:chất lượng sản phẩm mịn màng
Màu sắc:màu sắc tím than
Đúng với mô tả:đúng với mô tả

Hàng Yody chất lượng sản phẩm luôn tốt",1
duy2k30,5,"Đúng với mô tả:dung
Màu sắc:tím than
Chất liệu:gió

Hàng shop gủi như mô tả các bạn trẻ lấy màu đen đẹp hơn tím than nhé mình thấy vậy, gói hàng kỹ giao hàng nhanh  tư vấn nhiệt tình lên mua ạ
Áo này mặc ấm phết đi mưa nhỏ ok luôn",1
nhan.tran2710,5,Shop giao hàng nhanh đóng gói cẩn thận đúng mẫu đúng màu đúng kiểu săn được sale nên rất rẻ xe ủng hộ shop tiếp,1
bui_trong_tin,5,Cao 1m70 nặng 75kg mặc size 2xl vừa khớp hàng chuẩn yody thì ko có gì nhận xét,1
huybuivan,5,"Áo này ngon nha các bác , mua sale còn có mã giảm tận 70 cành , tha hồ mà đi đường không sợ bụi bẩn",1
n*****0,5,"Áo đẹp nha mọi người, đóng gói cẩn thận, shipper giao hàng thân thiện. Cho shop 5 sao nha, sẽ ủng hộ thêm lần sau",1
6r0amslw6n,4,"Đúng với mô tả:đúng
Màu sắc:tím than

Áo đẹp lắm mọi người ạ. Chả biết  nghiện đồ của yody hồi nào không hay sắm đồ cho cả nhà cùng dùng . Đẹp mà chất lượng",1
phmho600,5,"Màu sắc:đen
Chất liệu:tốt
Đúng với mô tả:đúng với mô tả

Đường kim mũi chỉ rất đẹp.ko có chỉ thừa đúng hàng yody luôn",1
ngochannguyen1987,5,"Chất liệu:khoác gió
Màu sắc:đỏ
Đúng với mô tả:rất đẹp

Mình săn được voucher live giảm giá của Yody. Hàng giao siêu nhanh, rất ưng ý. Đã dùng hàng của Yody lâu nay, luôn được ưu đãi và khuyến mãi rất tốt. Các bạn live tư vấn rất kỹ. Hàng khuyến mãi mà được đổi trả miễn phí trong vòng 7 ngày là ít shop nào có lắm! Nên mua combo đồng phục cho cả nhà khi có giá hời vầy nha mọi người!",1
paigetaylor,5,"Màu sắc:ghi nhạt
Đúng với mô tả:trên cả tuyệt vời
Chất liệu:gió, ấm cực, siêu nhẹ

Nói chung mua ko sợ mắc chỉ sợ ko vừa size ba mình, mà trộm vía quá siêu ưng, áp mã các thứ mình mua đc giá ngon, ba mình cao 1m71, 84kg 3XL thoải mái lun",1
datbig2019,5,"Tôi rất thích sản phẩm này, chất ưng, dáng ưng, giá ưng. Nếu trên áo có 1 vài điểm nhấn nhẹ thì vô cùng đẹp",1
m8hwo41mtk,5,"Màu sắc:đen
Đúng với mô tả:đúng
Chất liệu:vải ấm và cảm thấy hơi mỏng hơn so với bản plus

Mặc dù chờ đợi rất lâu nhưng vẫn cảm thấy hài lòng. Có thắc mắc là cùng yody sao bên yody clothes rẻ hơn bên yody official store này",1
nguyenhavy1803,5,"Chất liệu:ok
Đúng với mô tả:ok
Màu sắc:ok

Chúng ta kết hôn là vì hy vọng trên đời này có thêm một người yêu thương chúng ta, luôn ở bên chúng ta; khi đau nhức sẽ có người đưa chúng ta đến bệnh viện, khi trời mưa tầm tã sẽ có người đón về, khi đêm khuya tĩnh lặng có người ngủ bên cạnh giúp chúng ta yên tâm say giấc, khi tủi thân oan ức có người vỗ về và nói: Đừng lo, có anh ở đây rồi.",1
snail.3d,5,"Nhận được hàng ưng ý gì đâu luôn á. Áo khoát mà như áo ấm á trời, dày lắm mn, vãi thì mịn mà mượt nữa. 10đ Yody",1
levanthanh88,5,"Đúng với mô tả:đúng mô tả
Màu sắc:xanh than
Chất liệu:3c pro

Chất lượng ổn đã mua mấy lần rồi, mua áp mã nên khá ổn",1
phuongquynh.95,5,"Đúng với mô tả:ddusng
Chất liệu:chất liệu đẹp
Màu sắc:đenn

Ado mặc thích. Dày dặn ấm. Đi mưa ko ngấm luôn mình trải mgjieejm rồi nên mới đánh giá",1
kimoanhtran044,5,"Đúng với mô tả:đúng mô tả
Chất liệu:dày dặn mịn mượt
Màu sắc:lên màu chuẩn

Ấm áp dày dặn mặc cho thời tiết thu se se",1
8*****n,5,"Đúng với mô tả:đúng
Màu sắc:nâu
Chất liệu:vải

Rất hài lòng vs cách phục vụ của yody, chất lượng áo ok, phù hợp với giá tiền",1
t*****u,5,"Chất liệu:không rõ
Đúng với mô tả:chuẩn
Màu sắc:đen

Áo đẹp, đã mua nhiều của nhà Yody. Không hiểu sao tem áo lại dính màu gì không biết??? Áo mặc ấm lắm ạ. Cảm ơn shop nhiều săn sale áo vs giá 329k. MN chịu khó săn sẽ có giá tốt. Ủng hộ hàng VN ạ ",1
t*****8,5,"Chất liệu:toots
Đúng với mô tả:ddungs
Màu sắc:dden

Áo cầm nặng tay lắm , cản gió tốt, mặc ấm lắm ạ",1
hien_hum_beo,5,"Áo giống hình và giống mô tả. Giao hàng rất nhanh, khá hài lòng, áo mặc vừa , khá ấm. Đã mua nhiều nên không có gì đánh giá thêm",1
b*****4,5,"Màu sắc:xanh than
Chất liệu:dù
Đúng với mô tả:Đúng

Chất áo rất đẹp, ấm áp, kích cỡ vừa vặn. Giao hàng nhanh. Rất ưng <3",1
dox9lbayzi,5,"Đúng với mô tả:đúng với mô tả
Màu sắc:đen
Chất liệu:áo gió

Hình ảnh và video không liên quan đến sản phẩm. Vì lâu rồi mới quay lại đánh giá, mình lười đi lấy áo ra quay và chụp ạ. 
Chất lượng áo của nhà Yody thì miễn bàn, khỏi chê rồi ạ. Mình mua nhiều rồi, chưa thấy cái nào của Yody mà k hài lòng cả. Nên mua nha mọi người.",1
xukatuonganh,5,"Đúng với mô tả:dung
Màu sắc:tím than
Chất liệu:poly

Áo dày dặn, hàng yody thì chất lượng khỏi bàn rồi, sẽ ủng hộ dài dài",1
bathituongvy,5,"Hình k lquan nhưng áo đẹp, 55kg m7 mặc size L vừa vặn, nếu dài hơn xíu có lẽ ok hơn. Hàng hãng nên khỏi phải bàn, NV nhiệt tình. Sẽ tiếp tục ủng hộ shop!",1
1qe_786rc1,5,"Màu sắc:tím than
Chất liệu:poly
Đúng với mô tả:đúng

Áo vừa đẹp, giao hàng nhanh chóng",1
nguyenvantrien277,4,"Chất liệu:ổn
Đúng với mô tả:đúng
Màu sắc:ổn

Sản phẩm cũng khá là ổn. Mình thấy mỗi chống nước là không được lắm. Chất liệu thì cũng tạm được.giao hàng nhanh và đảm a bảo.",1
6*****d,5,"Áo siu siu đẹp nhaaaa. Shop giao hàng nhanh đóng gói rất cẩn thận,cộng thêm điểm nhắn tin rất lịch sự,thân thiện,mk có xin thêm shop túi vải để mang đi làm quà tặng.Áo không hề có 1 sợi chỉ thừa.Nhm mình mua size hơi rộng😂 Mn nên mua nha mặc rất là ấmmmm🥰🥰",1
hien_hum_beo,5,"Hàng giống mô tả, giao hàng khá nhanh . Mặc vừa form . Phù hợp với giá tiền. Đã mua của yody nhiều nên cũng k có gì đánh giá thêm",1
namvietns,5,"Màu sắc:xanh than
Đúng với mô tả:đúng
Chất liệu:tốt

Giao hàng nhanh, sản phẩm tốt. Chất lượng sản phẩm đẹp,  đúng.sản phẩm và.màu sắc",1
